"","gene","corr","pval"
"cor55","AGT",-0.738328812738777,0.0147469015303933
"cor63","AK7",-0.73359130906615,0.0157449358886316
"cor87","ANO7",0.744666070238669,0.0134820192575789
"cor143","ATP2B4",-0.721360165709774,0.0185373969224225
"cor156","B3GNT7",-0.695651496419291,0.0254908931130585
"cor165","BBC3",-0.79916161605768,0.00554204473101602
"cor166","BCAM",0.692930753976381,0.0263179358757196
"cor183","BTG2",-0.802250860497688,0.00522970459002432
"cor257","CD274",0.65779742295978,0.0386991794359524
"cor300","CHRNA6",-0.655792628791191,0.0395054605368645
"cor302","CHRNB2",-0.735282119553104,0.0153835052614293
"cor326","CNRIP1",0.836090615611955,0.00257816597039732
"cor360","CPVL",-0.68787223050723,0.0279041143087938
"cor384","CYBA",0.713543469120915,0.0204914973841846
"cor385","CYC1",0.665693546253787,0.0356314871198153
"cor386","CYFIP2",-0.81497801351327,0.00407418377980691
"cor418","DKK1",0.638633502153577,0.0468731894444748
"cor517","ERBB4",0.813357138915868,0.00421004639259459
"cor558","FAM71E1",-0.640652274111416,0.0459622620726666
"cor568","FBXO15",-0.660995651089504,0.0374360167216286
"cor574","FER1L4",-0.71298383839504,0.0206366318890407
"cor589","FLRT2",0.691537156078362,0.0267485913332129
"cor678","GPR3",0.706857467997727,0.0222721478491963
"cor689","GRIK3",-0.739424705146422,0.0145224823017686
"cor706","HCN2",0.761985204213306,0.0104147366746079
"cor707","HCP5",-0.674538984148703,0.0323953637227536
"cor748","HTATIP2",0.786784201317249,0.00692764980536898
"cor785","ILDR2",-0.676346152163274,0.0317597233989789
"cor802","ITGA10",-0.651263549661253,0.0413684246937809
"cor805","ITGA9",-0.811491307368825,0.00437042182888166
"cor835","KCNJ14",0.633169284993092,0.0493990755665042
"cor846","KDR",-0.7233425102774,0.0180631743700408
"cor849","KIAA1107",0.65354045442162,0.0404246381341973
"cor881","LACTB2",0.720483071323169,0.0187499448280271
"cor894","LIMS2",-0.685771621084487,0.0285815646461011
"cor915","LMCD1",0.66044721469545,0.0376506188859958
"cor923","LPAR3",0.647541711672265,0.0429428299102023
"cor938","LSMEM1",0.741515511144926,0.0141009530535473
"cor943","LXN",0.633230644063966,0.0493702197724324
"cor984","MDM2",-0.765235862364186,0.00989947905778614
"cor1045","MSC",0.708009656799639,0.0219579685749896
"cor1074","NANOS1",-0.702568915209324,0.0234687688275108
"cor1121","NOTCH3",0.738932332143072,0.0146230144760238
"cor1126","NOX5",0.635987864865165,0.0480851211914567
"cor1148","NTNG2",0.65684095669244,0.0390824503910717
"cor1155","NXPH4",0.825488304019115,0.00326817956922535
"cor1250","PHLDA3",-0.67817529216202,0.0311250448632073
"cor1270","PLCD1",-0.660541064674364,0.0376138368206386
"cor1318","PRELP",-0.709870457380266,0.0214570374674349
"cor1348","PTK2",0.684598421463399,0.0289647682854037
"cor1376","RABL2A",-0.715805516468042,0.0199120417163994
"cor1377","RAC3",0.684696369051128,0.0289326421767965
"cor1383","RAPGEF4",-0.635168120753959,0.0484648330313651
"cor1427","RIMS2",0.676541509552884,0.0316915218876305
"cor1440","ROBO2",0.741850934317384,0.0140341330374038
"cor1442","RORA",-0.660467632108914,0.0376426147448642
"cor1495","SESN1",-0.848989019396909,0.00188825409792565
"cor1517","SLC16A7",0.801802217884353,0.00527426543705676
"cor1522","SLC1A3",-0.657241052712414,0.0389218159315458
"cor1558","SLC46A3",0.743206424760911,0.0137663564220365
"cor1568","SLC7A11",0.817290699306339,0.00388580910670316
"cor1677","SYTL4",0.854631933620665,0.00163309312320513
"cor1703","TFF3",-0.727389883932629,0.0171211977848559
"cor1705","TGFB1",0.661431716795006,0.0372659755249772
"cor1778","TRABD2B",-0.645160547705178,0.0439709019889649
"cor1784","TRIM36",-0.719770376774482,0.0189238920515073
"cor1785","TRIM47",0.786274013161669,0.00698955471993441
"cor1804","TSPAN15",-0.681927098311942,0.0298503553347274
"cor1837","UQCRB",0.653031302995076,0.0406344130636579
"cor1852","VEGFC",0.682198567698341,0.0297595273863305
"cor1938","ZNF736",-0.670297009731528,0.0339212385644788
